Date,Description,Original Description,Category,Amount,Status
2022-08-29,USAA FUNDS TRANSFER DB To Account: YOUTH SPENDING *8676,,,-20,Scheduled Funds Transfer
2022-08-29,USAA FUNDS TRANSFER DB To Account: USAA YOUTH SAVINGS *8846,,,-20,Scheduled Funds Transfer
2022-09-12,USAA FUNDS TRANSFER DB To Account: YOUTH SPENDING *8676,,,-20,Scheduled Funds Transfer
2022-09-12,USAA FUNDS TRANSFER DB To Account: USAA YOUTH SAVINGS *8846,,,-20,Scheduled Funds Transfer
2022-09-26,USAA FUNDS TRANSFER DB To Account: YOUTH SPENDING *8676,,,-20,Scheduled Funds Transfer
2022-09-26,USAA FUNDS TRANSFER DB To Account: USAA YOUTH SAVINGS *8846,,,-20,Scheduled Funds Transfer
2022-10-10,USAA FUNDS TRANSFER DB To Account: YOUTH SPENDING *8676,,,-20,Scheduled Funds Transfer
2022-10-10,USAA FUNDS TRANSFER DB To Account: USAA YOUTH SAVINGS *8846,,,-20,Scheduled Funds Transfer
2022-10-24,USAA FUNDS TRANSFER DB To Account: YOUTH SPENDING *8676,,,-20,Scheduled Funds Transfer
2022-10-24,USAA FUNDS TRANSFER DB To Account: USAA YOUTH SAVINGS *8846,,,-20,Scheduled Funds Transfer
2022-11-07,USAA FUNDS TRANSFER DB To Account: YOUTH SPENDING *8676,,,-20,Scheduled Funds Transfer
2022-11-07,USAA FUNDS TRANSFER DB To Account: USAA YOUTH SAVINGS *8846,,,-20,Scheduled Funds Transfer
2022-11-21,USAA FUNDS TRANSFER DB To Account: YOUTH SPENDING *8676,,,-20,Scheduled Funds Transfer
2022-11-21,USAA FUNDS TRANSFER DB To Account: USAA YOUTH SAVINGS *8846,,,-20,Scheduled Funds Transfer
2022-12-05,USAA FUNDS TRANSFER DB To Account: YOUTH SPENDING *8676,,,-20,Scheduled Funds Transfer
2022-12-05,USAA FUNDS TRANSFER DB To Account: USAA YOUTH SAVINGS *8846,,,-20,Scheduled Funds Transfer
2022-12-19,USAA FUNDS TRANSFER DB To Account: YOUTH SPENDING *8676,,,-20,Scheduled Funds Transfer
2022-12-19,USAA FUNDS TRANSFER DB To Account: USAA YOUTH SAVINGS *8846,,,-20,Scheduled Funds Transfer
2022-08-25,AMZN Mktp US*4A28C9403   AMZN.COM/BILLWA,AMZN Mktp US*4A28C9403   AMZN.COM/BILLWA,Category Pending,-39.94,Posted
2022-08-25,AMZN Mktp US*496SN2J03   AMZN.COM/BILLWA,AMZN Mktp US*496SN2J03   AMZN.COM/BILLWA,Category Pending,-34.94,Posted
2022-08-25,SQ *DIAMOND R            ST FRANCIS   KS,SQ *DIAMOND R            ST FRANCIS   KS,Category Pending,-28.9,Posted
2022-08-25,DEPOSIT@MOBILE,DEPOSIT@MOBILE,Category Pending,38.94,Posted
2022-08-24,Subway,Subway 59121             SAINT FRANCISKS,Fast Food,-32.2,Posted
2022-08-24,Cheyenne Community De,SQ *CHEYENNE COMMUNITY DEGOSQ.COM     KS,Business Services,-27.5,Posted
2022-08-23,Capital One Credit Card,CAPITAL ONE      CRCARDPMT  ***********A7W2,Credit Card Payment,-15,Posted
2022-08-23,St Francis Tire & Service,ST FRANCIS TIRE & SERVIC5ST FRANCIS   KS,Service & Parts,-19.16,Posted
2022-08-23,Fresh Seven Coffee St Francis Ks,SQ *FRESH SEVEN COFFEE   ST FRANCIS   KS,Coffee Shops,-8.57,Posted
2022-08-23,St Franci E Washin Saint Francisks,ST FRANCI 120 E WASHIN   SAINT FRANCISKS,Groceries,-5.97,Posted
2022-08-22,Ford Motor Credit,FORD MOTOR CR    FORDCREDIT ***********9184,Auto Payment,-472.39,Posted
2022-08-22,Starlink,Starlink Internet        310-6829683  CA,Internet,-110,Posted
2022-08-22,St Francis Super E Wasaint Francisks,ST FRANCIS SUPER 120 E WASAINT FRANCISKS,Groceries,-86.65,Posted
2022-08-22,Fresh Seven Coffee St Francis Ks,SQ *FRESH SEVEN COFFEE   ST FRANCIS   KS,Coffee Shops,-54.64,Posted
2022-08-22,Twisted L Liquor S Frasaint Francisks,TWISTED L LIQUOR715 S FRASAINT FRANCISKS,Alcohol & Bars,-35.25,Posted
2022-08-22,El Jalapeno Mexican Restasaint Francisks,EL JALAPENO MEXICAN RESTASAINT FRANCISKS,Restaurants,-27.84,Posted
2022-08-22,Dollar General,DOLLAR GENERAL #DG 161506SAINT FRANCISKS,Shopping,-23.05,Posted
2022-08-22,Paramount+,PARAMOUNT+               888-274-5343 CA,Television,-9.99,Posted
2022-08-22,St Franci E Washin Saint Francisks,ST FRANCI 120 E WASHIN   SAINT FRANCISKS,Groceries,-4.81,Posted
2022-08-19,Cenex,CENEX-CRVS #12218 E HWY 3SAINT FRANCISKS,Gas,-14.95,Posted
2022-08-18,Prime Video,Prime Video *AS65H2H23   888-802-3080 WA,Television,-12.99,Posted
2022-08-17,KS DMV,KS DMV           8002689153 ***********,Auto & Transport,-576.28,Posted
2022-08-17,Midwest Utility,MIDWEST          UTILITY    ***********2728,Utilities,-28.56,Posted
2022-08-16,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********7827,Financial,-126.46,Posted
2022-08-16,Vyve Broadband,VYVE BROADBAND           855-367-8983 NY,Utilities,-74.73,Posted
2022-08-16,St Franci E Washin Saint Francisks,ST FRANCI 120 E WASHIN   SAINT FRANCISKS,Groceries,-28.13,Posted
2022-08-15,St Franci E Washin Saint Francisks,ST FRANCI 120 E WASHIN   SAINT FRANCISKS,Groceries,-39.38,Posted
2022-08-15,Dollar General,DOLLAR GENERAL #DG 161506SAINT FRANCISKS,Shopping,-25.68,Posted
2022-08-15,Twisted L Liquor S Frasaint Francisks,TWISTED L LIQUOR715 S FRASAINT FRANCISKS,Alcohol & Bars,-20.75,Posted
2022-08-15,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-20,Posted
2022-08-15,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-20,Posted
2022-08-15,Fresh Seven Coffee,SQ *FRESH SEVEN COFFEE   ST FRANCIS   KS,Coffee Shops,-15.54,Posted
2022-08-15,Mobile Deposit,DEPOSIT@MOBILE,Income,285.83,Posted
2022-08-15,Mobile Deposit,DEPOSIT@MOBILE,Income,127.82,Posted
2022-08-15,Mobile Deposit,DEPOSIT@MOBILE,Income,10,Posted
2022-08-12,Fairfield Inn,FAIRFIELD INN & SUITES   AURORA       CO,Hotel,-147.44,Posted
2022-08-12,St Franci E Washin Saint Francisks,ST FRANCI 120 E WASHIN   SAINT FRANCISKS,Groceries,-31.58,Posted
2022-08-12,Dazbog Coffee Children,DAZBOG COFFEE-CHILDREN   303-8929999  CO,Coffee Shops,-16.58,Posted
2022-08-12,McDonald's,MCDONALD'S F33673        BENNETT      CO,Fast Food,-9,Posted
2022-08-11,Costco,COSTCO WHSE #0439        AURORA       CO,Shopping,-316.5,Posted
2022-08-11,Costco,COSTCO WHSE #0439        AURORA       CO,Shopping,-149.03,Posted
2022-08-11,Texas Roadhouse,TEXAS ROADHOUSE #2071    AURORA       CO,Restaurants,-108.08,Posted
2022-08-11,Love's Travel Stops,LOVE'S #300              BENNETT      CO,Gas,-23.89,Posted
