id,date,contact,description,cash Check CC,check Number,account,debit Amount,credit Amount,ref Number,type
1,2021-06-15,In House,Bank Deposit,none,0,101.0 - Cash Drawer,0.00,143.00,1,Cash
2,2021-06-15,In House,Bank Deposit,none,0,101.2 - FNB Checking - Checking,143.00,0.00,1,Cash
3,2021-06-19,In House,donation,none,0,401.0 - Donations,0.00,28.00,3,General
4,2021-06-19,In House,fee,none,0,402.0 - FM Fee,0.00,33.22,3,General
5,2021-06-19,In House,taxes,none,0,200.0 - Sales Tax Payable,0.00,33.30,3,General
6,2021-06-19,In House,money rcvd,none,0,101.0 - Cash Drawer,94.52,0.00,3,General
7,2021-06-28,In House,6/26/21 Fees,none,0,402.0 - FM Fee,0.00,20.19,4,General
8,2021-06-28,In House,6/26/21 Taxes,none,0,200.0 - Sales Tax Payable,0.00,21.00,4,General
9,2021-06-28,In House,6/26/21 Donations,none,0,401.0 - Donations,0.00,9.00,4,General
10,2021-06-28,In House,6/26/21 Rcvd,none,0,101.0 - Cash Drawer,50.19,0.00,4,General
11,2021-07-03,In House,FM Rcvd,none,0,101.0 - Cash Drawer,78.30,0.00,5,General
12,2021-07-03,In House,FM Fees,none,0,402.0 - FM Fee,0.00,42.06,5,General
13,2021-07-03,In House,FM taxes,none,0,200.0 - Sales Tax Payable,0.00,33.94,5,General
14,2021-07-03,In House,FM Donations,none,0,401.0 - Donations,0.00,2.30,5,General
15,2021-07-10,In House,donation,none,0,401.0 - Donations,0.00,8.73,6,General
16,2021-07-10,In House,fee,none,0,402.0 - FM Fee,0.00,68.43,6,General
17,2021-07-10,In House,taxes,none,0,200.0 - Sales Tax Payable,0.00,63.94,6,General
18,2021-07-10,In House,cash taken in,none,0,101.0 - Cash Drawer,141.10,0.00,6,General
19,2021-07-17,In House,Donation,none,0,401.0 - Donations,0.00,42.07,7,General
20,2021-07-17,In House,taxes,none,0,200.0 - Sales Tax Payable,0.00,81.56,7,General
21,2021-07-17,In House,fm fees,none,0,402.0 - FM Fee,0.00,69.47,7,General
22,2021-07-17,In House,fm rcvd,none,0,101.0 - Cash Drawer,193.10,0.00,7,General
23,2021-07-26,KDoR,June Sales Tax,none,0,200.0 - Sales Tax Payable,99.85,0.00,8,General
24,2021-07-26,KDoR,June Sales Tax,none,0,101.2 - FNB Checking - Checking,0.00,99.85,8,General
25,2021-07-24,In House,sales tax,none,0,200.0 - Sales Tax Payable,0.00,44.95,9,General
26,2021-07-24,In House,fee,none,0,402.0 - FM Fee,0.00,27.31,9,General
27,2021-07-24,In House,donation,none,0,401.0 - Donations,0.00,3.74,9,General
28,2021-07-24,In House,rcvd,none,0,101.0 - Cash Drawer,76.00,0.00,9,General
29,2021-07-31,In House,fee,none,0,402.0 - FM Fee,0.00,30.43,10,General
30,2021-07-31,In House,Donation,none,0,401.0 - Donations,0.00,0.55,10,General
31,2021-07-31,In House,taxes,none,0,200.0 - Sales Tax Payable,0.00,28.13,10,General
32,2021-07-31,In House,rcvd,none,0,101.0 - Cash Drawer,59.11,0.00,10,General
33,2021-08-07,In House,fee,none,0,402.0 - FM Fee,0.00,88.83,11,General
34,2021-08-07,In House,taxes,none,0,200.0 - Sales Tax Payable,0.00,102.18,11,General
35,2021-08-07,In House,rcvd,none,0,101.0 - Cash Drawer,191.01,0.00,11,General
36,2021-08-14,In House,fee,none,0,402.0 - FM Fee,0.00,43.86,12,General
37,2021-08-14,In House,taxes,none,0,200.0 - Sales Tax Payable,0.00,65.29,12,General
38,2021-08-14,In House,Donations Received,none,0,401.0 - Donations,0.00,1.50,12,General
39,2021-08-14,In House,rcvd,none,0,101.0 - Cash Drawer,110.65,0.00,12,General
40,2021-02-18,In House,Retained Earnings,Cash,0,101.2 - FNB Checking - Checking,1691.11,0.00,30,Cash
41,2021-02-18,In House,Retained Earnings,Cash,0,399.9 - Retained Earnings,0.00,1691.11,30,Cash
42,2021-02-18,In House,paper stmt fee,Cash,0,101.2 - FNB Checking - Checking,0.00,3.00,31,Cash
43,2021-02-18,In House,paper stmt fee,Cash,0,501.1 - Bank Fee,3.00,0.00,31,Cash
44,2021-02-18,In House,school  fund raiser,Cash,0,101.2 - FNB Checking - Checking,488.94,0.00,32,Cash
45,2021-02-18,In House,school  fund raiser,Cash,0,400.7 - Fund Raising,0.00,488.94,32,Cash
46,2021-04-22,In House,fund Raising,Cash,0,101.2 - FNB Checking - Checking,324.00,0.00,33,Cash
47,2021-04-22,In House,fund Raising,Cash,0,400.7 - Fund Raising,0.00,324.00,33,Cash
